lemma,"poscode","surface"
Annaba,"0","Annaba"
Annai,"0","Annai"
Annapolis,"0","Annapolis"
Annecy,"0","Annecy"
Annemasse,"0","Annemasse"
Annette Island,"0","Annette Island"
Anniston,"0","Anniston"
Anqing,"0","Anqing"
Anshan,"0","Anshan"
Anshun,"0","Anshun"
Anta,"0","Anta"
Antalaha,"0","Antalaha"
Antalya,"0","Antalya"
Antananarivo,"0","Antananarivo"
Antigua,"0","Antigua"
Antofagasta,"0","Antofagasta"
Antsalova,"0","Antsalova"
Antsirabe,"0","Antsirabe"
Antsiranana,"0","Antsiranana"
Antsohihy,"0","Antsohihy"
Antwerp,"0","Antwerp"
Anuradhapura,"0","Anuradhapura"
Anvik,"0","Anvik"
Aomori,"0","Aomori"
Aosta,"0","Aosta"
Apalachicola,"0","Apalachicola"
Apataki,"0","Apataki"
Apatity,"0","Apatity"
Apia,"0","Apia"
Apiay,"0","Apiay"
Appleton,"0","Appleton"
Aqaba,"0","Aqaba"
Aracaju,"0","Aracaju"
Aracatuba,"0","Aracatuba"
Arad,"0","Arad"
Araguaina,"0","Araguaina"
Arandis,"0","Arandis"
Arapiraca,"0","Arapiraca"
Arar,"0","Arar"
Araracuara,"0","Araracuara"
Arauca,"0","Arauca"
Araxa,"0","Araxa"
Arba Minch,"0","Arba Minch"
Arcachon,"0","Arcachon"
Arcata CA,"0","Arcata CA"
Arctic Bay,"0","Arctic Bay"
Arctic Village,"0","Arctic Village"
Ardabil,"0","Ardabil"
Ardmore,"0","Ardmore"
Arecibo,"0","Arecibo"
Arequipa,"0","Arequipa"
Argyle,"0","Argyle"
Arica,"0","Arica"
Aripuana,"0","Aripuana"
Arkalyk,"0","Arkalyk"
Arkhangelsk,"0","Arkhangelsk"
Arlington,"0","Arlington"
Armenia,"0","Armenia"
Armidale,"0","Armidale"
Armstrong,"0","Armstrong"
Arnsberg,"0","Arnsberg"
Arorae,"0","Arorae"
Arrecife,"0","Arrecife"
Arthur s Town,"0","Arthur s Town"
Artigas ,"0","Artigas "
Arua,"0","Arua"
Arusha,"0","Arusha"
Arutua,"0","Arutua"
Arvaikheer,"0","Arvaikheer"
Arvidsjaur,"0","Arvidsjaur"
Arxan,"0","Arxan"
Asahikawa,"0","Asahikawa"
Asheboro,"0","Asheboro"
Asheville,"0","Asheville"
Ashkhabad,"0","Ashkhabad"
Asmara,"0","Asmara"
Asosa,"0","Asosa"
Aspen,"0","Aspen"
Assab,"0","Assab"
Astoria,"0","Astoria"
Astrakhan,"0","Astrakhan"
Astypalaia,"0","Astypalaia"
Asuncion,"0","Asuncion"
Aswan,"0","Aswan"
Asyut,"0","Asyut"
Ataq,"0","Ataq"
Atar,"0","Atar"
Atbara,"0","Atbara"
Athens,"0","Athens"
Atikokan,"0","Atikokan"
Atiu Island,"0","Atiu Island"
Atka,"0","Atka"
Atlanta,"0","Atlanta"
Atlantic City,"0","Atlantic City"
Atoifi,"0","Atoifi"
Atqasuk,"0","Atqasuk"
Attawapiskat,"0","Attawapiskat"
Attopeu,"0","Attopeu"
Atyrau,"0","Atyrau"
Aubenas-vals-lanas,"0","Aubenas-vals-lanas"
Auburn,"0","Auburn"
Auckland,"0","Auckland"
Augsburg,"0","Augsburg"
Augusta,"0","Augusta"
Auki,"0","Auki"
Aupaluk,"0","Aupaluk"
Aurangabad,"0","Aurangabad"
Aurillac,"0","Aurillac"
Aurora,"0","Aurora"
Aurukun,"0","Aurukun"
Austin,"0","Austin"
Auxerre,"0","Auxerre"
Avalon,"0","Avalon"
Avarua,"0","Avarua"
Aviano,"0","Aviano"
