lemma,"poscode","surface"
ASJ,"0","ASJ"
ASK,"0","ASK"
ASM,"0","ASM"
ASN,"0","ASN"
ASO,"0","ASO"
ASP,"0","ASP"
ASR,"0","ASR"
AST,"0","AST"
ASU,"0","ASU"
ASV,"0","ASV"
ASW,"0","ASW"
ATA,"0","ATA"
ATB,"0","ATB"
ATC,"0","ATC"
ATD,"0","ATD"
ATF,"0","ATF"
ATG,"0","ATG"
ATH,"0","ATH"
ATI,"0","ATI"
ATJ,"0","ATJ"
ATK,"0","ATK"
ATL,"0","ATL"
ATM,"0","ATM"
ATQ,"0","ATQ"
ATR,"0","ATR"
ATW,"0","ATW"
ATY,"0","ATY"
ATZ,"0","ATZ"
AUA,"0","AUA"
AUC,"0","AUC"
AUF,"0","AUF"
AUG,"0","AUG"
AUH,"0","AUH"
AUK,"0","AUK"
AUO,"0","AUO"
AUQ,"0","AUQ"
AUR,"0","AUR"
AUS,"0","AUS"
AUU,"0","AUU"
AUW,"0","AUW"
AUX,"0","AUX"
AUY,"0","AUY"
AVA,"0","AVA"
AVB,"0","AVB"
AVI,"0","AVI"
AVK,"0","AVK"
AVL,"0","AVL"
AVN,"0","AVN"
AVO,"0","AVO"
AVP,"0","AVP"
AVV,"0","AVV"
AVW,"0","AVW"
AVX,"0","AVX"
AWA,"0","AWA"
AWD,"0","AWD"
AWK,"0","AWK"
AWO,"0","AWO"
AWZ,"0","AWZ"
AXA,"0","AXA"
AXD,"0","AXD"
AXJ,"0","AXJ"
AXK,"0","AXK"
AXM,"0","AXM"
AXN,"0","AXN"
AXP,"0","AXP"
AXR,"0","AXR"
AXT,"0","AXT"
AXU,"0","AXU"
AYK,"0","AYK"
AYP,"0","AYP"
AYQ,"0","AYQ"
AYT,"0","AYT"
AZ3,"0","AZ3"
AZA,"0","AZA"
AZD,"0","AZD"
AZI,"0","AZI"
AZN,"0","AZN"
AZO,"0","AZO"
AZR,"0","AZR"
AZS,"0","AZS"
BAB,"0","BAB"
BAD,"0","BAD"
BAF,"0","BAF"
BAG,"0","BAG"
BAH,"0","BAH"
BAL,"0","BAL"
BAQ,"0","BAQ"
BAS,"0","BAS"
BAT,"0","BAT"
BAU,"0","BAU"
BAV,"0","BAV"
BAX,"0","BAX"
BAY,"0","BAY"
BAZ,"0","BAZ"
BBA,"0","BBA"
BBD,"0","BBD"
BBG,"0","BBG"
BBH,"0","BBH"
BBI,"0","BBI"
BBJ,"0","BBJ"
BBK,"0","BBK"
BBM,"0","BBM"
BBN,"0","BBN"
BBO,"0","BBO"
BBP,"0","BBP"
BBQ,"0","BBQ"
BBR,"0","BBR"
BBS,"0","BBS"
BBT,"0","BBT"
BBU,"0","BBU"
BBX,"0","BBX"
BCA,"0","BCA"
BCD,"0","BCD"
BCE,"0","BCE"
BCI,"0","BCI"
BCL,"0","BCL"
BCM,"0","BCM"
BCN,"0","BCN"
BCO,"0","BCO"
BCT,"0","BCT"
BCV,"0","BCV"
BDA,"0","BDA"
BDB,"0","BDB"
BDD,"0","BDD"
BDE,"0","BDE"
BDH,"0","BDH"
BDI,"0","BDI"
BDJ,"0","BDJ"
BDL,"0","BDL"
BDM,"0","BDM"
BDN,"0","BDN"
BDO,"0","BDO"
BDP,"0","BDP"
BDQ,"0","BDQ"
BDR,"0","BDR"
BDS,"0","BDS"
BDT,"0","BDT"
BDU,"0","BDU"
BEB,"0","BEB"
BEC,"0","BEC"
BED,"0","BED"
BEF,"0","BEF"
BEG,"0","BEG"
BEI,"0","BEI"
BEJ,"0","BEJ"
BEL,"0","BEL"
BEM,"0","BEM"
BEN,"0","BEN"
BEO,"0","BEO"
BEP,"0","BEP"
BEQ,"0","BEQ"
BES,"0","BES"
BET,"0","BET"
BEU,"0","BEU"
BEV,"0","BEV"
BEW,"0","BEW"
BEY,"0","BEY"
BEZ,"0","BEZ"
BFD,"0","BFD"
BFF,"0","BFF"
BFH,"0","BFH"
BFI,"0","BFI"
BFJ,"0","BFJ"
BFL,"0","BFL"
BFM,"0","BFM"
BFN,"0","BFN"
BFO,"0","BFO"
BFP,"0","BFP"
BFS,"0","BFS"
BFT,"0","BFT"
BFU,"0","BFU"
BFV,"0","BFV"
BFX,"0","BFX"
BGA,"0","BGA"
BGC,"0","BGC"
BGE,"0","BGE"
BGF,"0","BGF"
BGI,"0","BGI"
